,Refcode,Composition,Temperature,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,N_XX,N_VdW,XX_min,XX_average,VdW_average,XXmin_2r,XXaver_2r,VdW_2r,M,I,Br,Cl,Bandgap
84,RAZMEN,Sb_I,295.0,2.8145,2.8732,3.2202,3.0066,3.3081,3.0361,93.336,90.353,95.391,174.486,89.259,175.661,89.142,91.853,92.902,88.238,84.538,89.426,86.543,174.807,88.619,3.0431,0.00331324,9.1439,6.0,2.0,3.8438,4.2351,3.8438,0.9151904761904761,1.0083571428571427,0.9151904761904761,1.0,1.0,0.0,0,2.22
85,RAZMEN01,Sb_I,85.0,2.8142,2.8798,3.2005,2.9976,3.2938,3.0246,92.976,90.469,89.057,174.049,88.747,176.308,89.057,92.813,92.787,89.288,83.777,88.612,85.888,175.205,89.598,3.0351,0.00305253,7.8486,6.0,2.0,3.7854,4.1695,3.7854,0.9012857142857142,0.9927380952380952,0.9012857142857142,1.0,1.0,0.0,0,2.22
86,RAZMEN02,Sb_I,150.0,2.8142,2.8799,3.2081,2.9988,3.3005,3.0289,93.145,90.472,95.647,174.176,88.795,176.086,89.089,92.496,92.823,89.065,83.929,88.748,85.889,175.065,89.481,3.0384,0.00315105,10.4502,6.0,2.0,3.8012,4.191,3.8012,0.905047619047619,0.9978571428571428,0.905047619047619,1.0,1.0,0.0,0,2.22
87,SEFRII,Sb_Br,293.0,2.5557,2.6297,3.0105,2.7679,3.436,2.8352,92.48,87.269,88.744,157.792,85.323,178.107,95.1,80.062,95.283,83.02,100.843,86.568,112.609,168.248,74.687,2.8725,0.01026556,101.2245,2.0,0.0,4.3354,4.3354,4.3354,1.1717297297297296,1.1717297297297296,1.1717297297297296,1.0,0.0,1.0,0,2.82
88,SEFROO,Sb_Cl,293.0,2.387,2.4545,2.9069,2.5823,3.4547,2.6784,91.064,85.314,87.791,152.285,84.39,174.842,93.046,76.849,93.591,83.16,107.986,89.715,117.304,169.829,71.806,2.744,0.01711835,154.678,2.0,0.0,4.561,4.561,4.561,1.2669444444444444,1.2669444444444444,1.2669444444444444,1.0,0.0,0.0,1,3.33
89,SEYDUV,Sb_I,295.0,2.8075,2.8275,3.2569,3.0377,3.3408,3.0207,93.995,89.607,94.584,172.317,87.963,174.121,88.559,90.057,92.976,86.521,86.907,91.793,92.038,176.932,85.307,3.0485,0.00424459,9.3887,6.0,3.0,3.8419,4.1487,3.8438,0.9147380952380951,0.9877857142857142,0.9151904761904761,1.0,1.0,0.0,0,2.16
90,SEYDUV01,Sb_I,100.0,2.8314,2.8314,3.3547,3.063,3.3547,3.063,93.755,88.89,92.421,173.766,88.019,173.766,88.019,88.89,92.421,86.228,89.047,93.313,93.313,179.357,86.228,3.083,0.0048228,7.9501,8.0,4.0,3.7395,3.9852,3.7395,0.8903571428571428,0.9488571428571427,0.8903571428571428,1.0,1.0,0.0,0,2.16
91,SEYPOF,Bi_I,296.0,2.889,3.0298,3.1261,3.0575,3.3745,3.1035,91.323,86.376,97.3,170.517,92.715,174.613,86.33,97.268,92.0,89.129,85.399,92.973,87.292,169.879,83.014,3.0967,0.0022113,21.1583,6.0,2.0,4.0386,4.3798,4.0386,0.9615714285714285,1.0428095238095239,0.9615714285714285,0.0,1.0,0.0,0,1.96
92,SIWGUD,Bi_I,130.0,2.9027,2.9027,3.2824,3.0845,3.2824,3.0845,93.321,89.426,94.82,176.167,89.363,176.167,89.363,89.426,94.82,87.741,87.958,87.877,87.877,173.91,87.741,3.0899,0.00251832,7.4868,8.0,4.0,4.0752,4.5643,4.0752,0.9702857142857142,1.0867380952380952,0.9702857142857142,0.0,1.0,0.0,0,2.0
93,SIWHAK,Bi_I,130.0,2.8978,2.9568,3.2139,3.1299,3.3478,3.0338,95.076,88.166,94.707,170.438,91.064,171.305,86.376,94.397,95.771,85.317,82.585,92.226,86.802,173.646,87.071,3.0967,0.00245027,19.8966,4.0,2.0,3.8847,4.1797,3.8992,0.9249285714285714,0.9951666666666668,0.9283809523809523,0.0,1.0,0.0,0,1.93
94,WAXDIM,Bi_I,130.0,2.9252,2.9419,3.2619,3.068,3.2493,3.1036,95.259,90.37,96.168,170.156,89.336,171.148,87.914,92.177,93.893,84.872,82.915,92.887,89.651,173.683,84.684,3.0916,0.00187596,20.9278,1.0,2.0,3.9298,3.9368,3.9368,0.9356666666666666,0.9373333333333332,0.9373333333333332,0.0,1.0,0.0,0,1.93
95,WEDNOM,Bi_I,273.0,2.917,2.917,3.2945,3.0928,3.2945,3.0928,91.99,90.376,90.674,175.757,95.266,175.757,95.266,90.376,90.674,88.225,87.482,85.6,85.6,171.452,88.225,3.1014,0.00247308,10.1795,8.0,0.0,4.2854,4.2991,4.2854,1.0203333333333333,1.023595238095238,1.0203333333333333,0.0,1.0,0.0,0,2.01
96,WEDNOM01,Bi_I,293.0,2.9169,2.9169,3.2946,3.0928,3.2946,3.0928,91.991,90.375,90.673,175.757,95.266,175.757,95.266,90.375,90.673,88.225,87.484,85.601,85.601,171.453,88.225,3.1014,0.0024757,10.177,8.0,0.0,4.2854,4.2991,4.2854,1.0203333333333333,1.023595238095238,1.0203333333333333,0.0,1.0,0.0,0,2.01
97,WURMUV,Sb_Br,293.0,2.5276,2.5931,3.1066,2.9735,3.4042,2.6934,93.35,84.898,89.533,169.04,91.813,176.439,86.88,95.992,92.175,90.002,86.074,90.981,96.675,178.399,82.134,2.8831,0.01155219,19.4484,6.0,1.0,3.779,4.0129,3.779,1.0213513513513512,1.0845675675675674,1.0213513513513512,1.0,0.0,1.0,0,2.99
98,WURMUV01,Sb_Br,387.9,2.5647,2.5647,3.2083,2.831,3.2083,2.831,94.151,87.269,86.878,168.513,90.462,168.513,90.462,87.269,90.772,86.413,91.637,93.637,93.637,171.012,86.413,2.868,0.00771116,42.7931,6.0,0.0,3.9106,3.9364,3.9165,1.056918918918919,1.0638918918918918,1.0585135135135135,1.0,0.0,1.0,0,2.99
99,WURNEG,Bi_Br,293.0,2.6937,2.7053,3.068,2.9401,3.1437,2.8236,98.982,90.069,96.133,171.467,90.813,166.572,84.78,89.074,92.575,84.405,82.501,97.221,87.347,172.872,85.99,2.8957,0.00348661,28.7721,6.0,1.0,3.6699,3.9178,3.6699,0.9918648648648649,1.0588648648648649,0.9918648648648649,0.0,0.0,1.0,0,2.79
100,COD_7250636,Bi_Br,393.02,2.6762,2.6762,3.1104,2.8873,3.1104,2.8873,94.101,88.838,91.374,171.727,91.091,171.727,91.091,88.838,91.374,85.099,88.528,92.0,92.0,176.007,85.099,2.8913,0.00425549,33.3042,6.0,2.3,3.7913,3.9463,3.8501,1.0246756756756756,1.0665675675675674,1.0405675675675674,0.0,0.0,1.0,0,2.79
101,YOCTOD,Bi_Br,293.0,2.6785,2.7151,3.0674,2.912,3.1173,2.834,92.266,92.416,94.334,176.202,90.42,171.859,87.408,88.036,90.943,85.832,87.607,95.453,88.512,175.02,86.736,2.8874,0.00325371,10.9351,2.5,1.0,3.7856,4.1625,3.7856,1.0231351351351352,1.1249999999999998,1.0231351351351352,0.0,0.0,1.0,0,2.78
102,ZEHCUO,Bi_I,296.0,2.8922,2.909,3.3488,3.0339,3.2882,3.1567,98.423,88.627,92.467,166.962,86.237,172.215,88.18,93.3,94.023,88.222,80.04,89.709,93.595,177.585,87.272,3.1048,0.00318867,22.389,4.0,1.0,3.6594,4.1703,3.6594,0.8712857142857143,0.9929285714285714,0.8712857142857143,0.0,1.0,0.0,0,1.77
103,ZOJKAO,Sb_Cl,296.0,2.3677,2.4097,3.0196,2.8527,3.4559,2.4943,92.692,84.247,84.388,164.097,88.931,176.395,89.808,87.617,92.941,88.001,95.852,88.913,111.515,172.89,75.177,2.7667,0.01975353,73.5806,4.0,0.0,3.68,4.0759,3.68,1.0222222222222221,1.1321944444444443,1.0222222222222221,1.0,0.0,0.0,1,3.57
104,ZUCSOH,Bi_I,330.0,2.9081,2.9081,3.2733,3.0937,3.2733,3.0937,92.776,90.842,95.01,173.057,88.053,173.057,88.053,90.842,95.01,85.728,86.192,91.032,91.032,175.567,85.728,3.0917,0.00232571,10.9124,8.0,4.0,3.993,4.1541,3.993,0.9507142857142856,0.9890714285714285,0.9507142857142856,0.0,1.0,0.0,0,2.0
