,Refcode,Composition,Temperature,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,N_XX,N_VdW,XX_min,XX_average,VdW_average,XXmin_2r,XXaver_2r,VdW_2r,M,I,Br,Cl,Bandgap
29,ENIKIV01,Sb_Br,297.0,2.563,2.563,3.2219,2.819,3.2219,2.819,94.308,87.668,90.652,175.46,89.196,175.46,89.196,87.668,90.652,86.693,90.657,93.465,93.465,179.776,86.693,2.868,0.00894286,7.0814,8.0,0.0,3.8903,3.9716,3.8903,1.0514324324324325,1.0734054054054054,1.0514324324324325,1.0,0.0,1.0,0,2.73
30,ENIKIV04,Sb_Br,298.0,2.5579,2.5579,3.2133,2.8133,3.2133,2.8133,94.072,87.722,90.513,175.607,89.288,175.607,89.288,87.722,90.513,86.683,90.774,93.521,93.521,179.709,86.683,2.8615,0.00888514,6.8999,8.0,0.0,3.8813,3.9576,3.8813,1.049,1.0696216216216214,1.049,1.0,0.0,1.0,0,2.73
31,FAZFEV,Bi_Cl,298.0,2.5102,2.6006,2.9629,2.7063,2.9872,2.7335,88.962,87.101,99.624,167.799,88.893,166.859,87.558,96.824,95.573,80.756,89.489,96.88,91.374,170.995,79.885,2.7501,0.00404586,38.5605,1.0,0.0,4.5182,4.5182,4.5182,1.2550555555555556,1.2550555555555556,1.2550555555555556,0.0,0.0,0.0,1,3.4
32,FOCCAF,Bi_Cl,173.0,2.5205,2.5205,3.0051,2.7224,3.0051,2.7224,93.44,90.719,92.619,171.472,88.05,171.472,88.05,90.719,92.619,84.322,86.157,94.963,94.963,179.025,84.322,2.7493,0.00522597,14.7911,4.0,0.0,4.1346,4.1346,4.1346,1.1484999999999999,1.1484999999999999,1.1484999999999999,0.0,0.0,0.0,1,3.19
33,GATGOB,Sb_Cl,293.0,2.3587,2.4233,2.98,2.8822,3.3815,2.4927,92.61,83.755,85.954,167.133,91.286,176.162,87.841,95.763,91.737,90.665,88.029,89.584,104.075,177.186,78.734,2.7531,0.01748527,39.4777,4.0,0.0,3.7127,4.0456,3.7127,1.0313055555555555,1.1237777777777778,1.0313055555555555,1.0,0.0,0.0,1,3.54
34,HASTUU,Bi_I,300.0,2.9172,2.9343,3.3234,3.0922,3.2949,3.1278,96.029,93.052,93.876,168.06,85.069,163.85,87.384,88.982,97.237,78.684,84.744,96.826,97.182,175.34,83.549,3.115,0.00254655,40.0658,0.5,0.0,4.3613,4.3613,4.3613,1.0384047619047618,1.0384047619047618,1.0384047619047618,0.0,1.0,0.0,0,1.91
35,HEDGUW,Sb_I,100.0,2.8205,2.854,3.1955,3.1835,3.3775,2.908,96.083,88.449,95.253,169.861,91.232,171.595,85.839,94.05,93.821,86.702,81.535,93.152,85.793,173.506,87.764,3.0565,0.00458931,21.0912,6.0,2.0,4.1198,4.347,4.1198,0.9809047619047618,1.0350000000000001,0.9809047619047618,1.0,1.0,0.0,0,2.19
36,HEDHAD,Sb_I,100.0,2.8183,2.8487,3.2111,3.166,3.3776,2.9232,95.952,88.295,95.368,168.925,91.103,171.911,85.941,95.081,93.765,86.811,80.869,93.031,86.363,173.519,87.215,3.0575,0.00457628,22.5953,6.0,2.0,4.1675,4.3995,4.1675,0.9922619047619048,1.0474999999999999,0.9922619047619048,1.0,1.0,0.0,0,2.12
37,HEDHUX,Sb_Br,100.0,2.5527,2.5891,3.12,2.9464,3.3179,2.702,95.859,86.596,88.362,169.779,89.787,174.142,86.441,93.369,92.58,93.428,84.617,92.691,96.517,177.745,85.5,2.8714,0.0096849,19.2603,5.0,1.0,3.5488,4.043,3.5488,0.959135135135135,1.0927027027027028,0.959135135135135,1.0,0.0,1.0,0,2.59
38,IBIJUC,Bi_I,295.0,2.9251,2.9656,3.263,3.1051,3.279,3.066,92.112,94.232,92.064,171.684,90.66,170.464,92.073,91.578,91.456,86.199,82.667,90.284,86.432,173.182,90.968,3.1006,0.0019036,23.9227,4.5,1.0,4.0038,4.5911,4.0038,0.9532857142857143,1.0931190476190475,0.9532857142857143,0.0,1.0,0.0,0,1.86
39,IBIJUC01,Bi_I,293.0,2.92,2.9631,3.2596,3.104,3.2756,3.0652,92.08,94.243,92.087,171.706,90.646,170.476,92.04,91.516,91.512,86.202,82.755,90.257,86.431,173.122,90.968,3.0979,0.00191277,23.8215,4.5,1.0,4.0047,4.3418,4.0047,0.9534999999999999,1.0337619047619047,0.9534999999999999,0.0,1.0,0.0,0,1.86
40,IBIKAJ,Bi_I,298.0,2.9263,2.9649,3.2624,3.1054,3.2782,3.066,92.084,94.26,92.052,171.632,90.634,170.498,92.072,91.602,91.482,86.196,82.646,90.27,86.446,173.16,90.993,3.1005,0.00188962,23.9976,3.5,1.0,4.0028,4.3739,4.0028,0.9530476190476189,1.041404761904762,0.9530476190476189,0.0,1.0,0.0,0,1.86
41,IBIKAJ01,Bi_I,293.0,2.9238,2.966,3.2638,3.107,3.2798,3.067,92.112,94.264,92.084,171.719,90.628,170.431,92.055,91.527,91.474,86.184,82.684,90.296,86.426,173.224,90.987,3.1013,0.00191853,23.8976,3.5,1.0,4.0044,4.377,4.0044,0.9534285714285715,1.042142857142857,0.9534285714285715,0.0,1.0,0.0,0,1.86
42,ICSD_421459,Bi_I,293.0,2.9297,2.9672,3.1998,3.1058,3.2812,3.0379,96.304,88.081,92.652,171.687,89.609,174.46,87.145,91.689,92.827,89.278,84.08,90.58,90.019,177.729,87.712,3.0869,0.00161429,10.0676,6.0,2.0,3.9104,4.1533,3.9104,0.931047619047619,0.9888809523809523,0.931047619047619,0.0,1.0,0.0,0,1.9
43,ICSD_430261,Bi_I,100.0,2.9857,3.023,3.2408,3.1633,3.2899,3.1081,96.979,92.255,93.892,176.165,90.347,173.835,88.454,90.02,94.922,88.551,86.456,93.184,93.106,179.896,87.873,3.1351,0.00170528,12.4766,11.0,7.0,3.8896,4.1876,4.0148,0.9260952380952381,0.997047619047619,0.9559047619047619,0.0,1.0,0.0,0,1.76
44,ICSD_430262,Bi_I,295.0,2.9503,2.9503,3.2493,3.0848,3.2493,3.0848,97.049,91.085,96.422,170.208,87.416,170.208,87.416,91.085,96.422,86.259,81.382,89.359,89.359,174.222,86.259,3.0948,0.00156092,22.8148,12.0,0.0,4.3011,4.4923,4.3011,1.0240714285714285,1.069595238095238,1.0240714285714285,0.0,1.0,0.0,0,1.7
45,ICSD_430263,Bi_I,295.0,2.9219,2.968,3.1951,3.1013,3.2715,3.0343,96.033,88.434,92.546,172.135,89.718,174.509,87.354,91.644,93.004,89.262,83.999,90.203,89.506,177.659,88.171,3.082,0.00157875,9.4842,6.0,2.0,3.8794,4.1328,3.8794,0.9236666666666666,0.9839999999999999,0.9236666666666666,0.0,1.0,0.0,0,1.73
46,ICSD_430264,Bi_I,295.0,2.9211,2.9636,3.2068,3.0991,3.2814,3.0415,96.085,88.427,92.881,172.007,89.596,174.361,87.43,91.548,92.924,88.97,84.098,90.482,89.819,177.448,87.645,3.0856,0.00169975,9.7474,6.0,2.0,3.9172,4.166,3.9172,0.9326666666666665,0.991904761904762,0.9326666666666665,0.0,1.0,0.0,0,1.73
47,IMEMOC,Sb_Cl,293.0,2.3646,2.4108,2.9403,2.4469,3.5914,2.933,91.156,85.927,93.176,148.283,83.523,172.111,90.435,86.401,96.52,82.421,99.921,90.441,118.437,172.346,65.412,2.7812,0.02429012,154.0828,2.0,0.0,3.9069,3.9069,3.9069,1.0852499999999998,1.0852499999999998,1.0852499999999998,1.0,0.0,0.0,1,3.47
48,IMEMOC01,Sb_Cl,293.0,2.3592,2.4063,2.9405,2.4492,3.5905,2.9331,91.274,85.923,93.055,148.317,83.566,172.157,90.596,86.52,96.288,82.252,99.701,90.683,118.548,172.385,65.33,2.7798,0.02442131,154.4712,2.0,0.0,3.9114,3.9114,3.9114,1.0865,1.0865,1.0865,1.0,0.0,0.0,1,3.47
49,IZUXAF,Bi_I,200.0,2.9093,2.9232,3.2646,3.1207,3.3548,3.1068,95.093,88.306,96.088,171.025,89.61,174.881,90.371,93.616,95.092,85.455,83.153,88.747,86.009,171.737,87.461,3.1132,0.00273527,17.8772,4.0,2.0,3.8519,4.143,3.9636,0.9171190476190476,0.9864285714285713,0.9437142857142857,0.0,1.0,0.0,0,2.08
50,IZUXAF01,Bi_I,293.0,2.9018,2.9203,3.272,3.0904,3.352,3.0855,95.023,88.518,96.216,171.036,89.498,174.519,90.162,93.496,95.151,85.289,83.194,89.051,86.532,171.84,86.965,3.1037,0.00285286,17.7957,2.0,2.0,3.8786,3.9776,3.9776,0.9234761904761905,0.9470476190476189,0.9470476190476189,0.0,1.0,0.0,0,2.07
51,IZUXEJ,Bi_I,293.0,2.9439,2.9439,3.2944,3.0783,3.2944,3.0783,102.252,89.406,91.674,167.301,86.634,167.301,86.634,89.406,91.674,88.025,79.485,94.049,94.049,177.307,88.025,3.1055,0.00216146,30.0215,8.0,0.0,4.3605,4.5722,4.3605,1.0382142857142858,1.0886190476190474,1.0382142857142858,0.0,1.0,0.0,0,2.01
52,KEMBOW,Sb_I,330.0,2.8278,2.8278,3.2567,3.0262,3.2567,3.0262,93.28,90.36,93.88,172.901,88.145,172.901,88.145,90.36,93.88,85.527,86.689,92.327,92.327,177.054,85.527,3.0369,0.0033305,9.9833,8.0,4.0,3.9778,4.1731,3.9778,0.947095238095238,0.993595238095238,0.947095238095238,1.0,1.0,0.0,0,2.17
53,KOYNIZ,Bi_I,293.0,2.9193,2.9272,3.2858,3.0734,3.2879,3.0986,93.405,89.327,96.431,172.355,88.952,175.223,88.549,93.291,96.14,87.25,84.251,87.821,87.421,172.655,86.669,3.0987,0.00230925,15.2952,4.0,1.0,3.9531,4.6394,3.9531,0.9412142857142857,1.1046190476190476,0.9412142857142857,0.0,1.0,0.0,0,2.12
54,KOYNIZ01,Bi_I,150.0,2.9169,2.9271,3.284,3.0708,3.2865,3.098,93.479,89.33,96.445,172.347,88.912,175.109,88.523,93.213,96.265,87.183,84.261,87.783,87.435,172.603,86.671,3.0972,0.00230849,15.4979,4.0,1.0,3.9505,4.6372,3.9505,0.940595238095238,1.104095238095238,0.940595238095238,0.0,1.0,0.0,0,2.01
55,LEWKEG,Bi_I,120.0,2.9219,2.9511,3.2135,3.1275,3.2648,2.9511,99.258,89.35,94.574,170.8,89.646,168.838,85.298,89.817,97.348,86.952,81.839,89.748,87.629,174.609,87.683,3.0716,0.0019791,24.5692,6.0,4.0,3.8618,4.0575,3.8726,0.9194761904761904,0.9660714285714286,0.922047619047619,0.0,1.0,0.0,0,1.78
56,NAXWUI,Bi_I,293.0,2.9369,2.9744,3.2244,3.0775,3.2745,3.0903,96.65,89.531,94.187,169.337,88.185,170.869,86.499,91.97,94.208,86.352,82.689,92.695,92.589,177.434,84.923,3.0963,0.0015441,18.6921,6.0,0.0,4.3984,4.5712,4.3984,1.047238095238095,1.0883809523809524,1.047238095238095,0.0,1.0,0.0,0,1.67
57,NOKDAW,Sb_Cl,293.0,2.3838,2.4055,3.0404,2.598,3.333,2.6674,92.248,85.965,87.758,165.1,85.862,176.675,91.989,81.094,90.98,88.028,100.568,88.774,105.624,172.894,81.017,2.738,0.01580791,54.4789,4.0,0.0,3.7116,4.1975,3.7116,1.031,1.1659722222222222,1.031,1.0,0.0,0.0,1,3.48
58,NOSLOZ,Bi_I,300.0,2.9549,2.9549,3.2206,3.0755,3.2206,3.0755,94.697,90.586,95.413,172.932,90.164,172.932,90.164,90.586,95.413,84.657,84.553,89.253,89.253,171.774,84.657,3.0837,0.00124087,15.3895,4.0,0.0,4.6421,4.6421,4.6421,1.1052619047619048,1.1052619047619048,1.1052619047619048,0.0,1.0,0.0,0,2.07
59,OQUBEK,Bi_I,293.0,2.893,2.9484,3.1769,3.147,3.3832,3.0188,94.686,88.41,94.535,172.65,92.498,170.771,88.365,92.527,94.601,82.718,84.677,93.947,87.075,172.122,85.506,3.0946,0.00279462,18.8376,4.0,2.0,4.0602,4.2255,4.0682,0.9667142857142856,1.0060714285714285,0.9686190476190476,0.0,1.0,0.0,0,2.12
60,OQUBEK01,Bi_I,293.0,2.8053,2.9094,3.1189,3.0107,3.3087,3.0059,93.437,87.628,93.896,168.553,87.608,176.781,91.751,92.489,96.9,85.143,86.987,86.176,95.704,171.119,81.962,3.0265,0.0027565,21.7861,2.0,2.0,3.8353,3.9236,3.9236,0.9131666666666667,0.9341904761904761,0.9341904761904761,0.0,1.0,0.0,0,2.21
61,PANHIZ,Bi_I,293.0,2.9305,2.9517,3.2238,3.1177,3.3095,3.0556,96.006,87.766,97.76,166.349,89.921,172.359,86.471,96.629,94.641,86.436,80.305,92.001,88.161,172.089,83.931,3.0981,0.0019483,30.0124,2.0,0.0,4.4208,4.4208,4.4208,1.0525714285714285,1.0525714285714285,1.0525714285714285,0.0,1.0,0.0,0,2.08
62,PANHOF,Sb_I,293.0,2.854,2.8572,3.258,3.0022,3.2231,3.0527,95.282,93.166,94.063,172.158,87.796,169.948,89.366,89.912,94.388,84.605,82.271,91.366,91.862,175.646,85.948,3.0412,0.00271461,17.2316,2.0,0.0,4.6949,4.6949,4.6949,1.1178333333333332,1.1178333333333332,1.1178333333333332,1.0,1.0,0.0,0,2.22
63,PAQLAX,Bi_I,150.0,2.9075,2.9191,3.2606,3.0856,3.2878,3.1052,93.8,90.318,95.188,172.978,87.39,174.435,89.19,91.181,94.927,86.718,85.05,88.994,89.822,174.87,87.256,3.0943,0.00231921,11.0588,5.0,4.0,3.823,4.031,3.928,0.9102380952380952,0.9597619047619046,0.9352380952380952,0.0,1.0,0.0,0,1.98
64,PAQLEB,Bi_I,120.0,2.9097,2.9194,3.2699,3.1063,3.3029,3.1026,92.309,90.443,93.427,177.142,90.07,176.0,90.691,89.734,94.301,86.246,87.619,88.596,88.543,173.787,87.784,3.1018,0.00240601,5.9173,6.0,4.0,4.03,4.1411,4.0699,0.9595238095238096,0.9859761904761903,0.9690238095238094,0.0,1.0,0.0,0,2.17
65,PAQLEB02,Bi_I,100.0,2.9111,2.9189,3.2703,3.1014,3.3023,3.099,92.391,90.382,93.381,177.145,90.077,176.063,90.711,89.682,94.203,86.334,87.645,88.585,88.554,173.87,87.812,3.1005,0.00239966,5.7671,6.0,4.0,4.0232,4.1333,4.06,0.9579047619047619,0.9841190476190477,0.9666666666666666,0.0,1.0,0.0,0,2.17
66,PETLOT,Bi_Br,173.0,2.662,2.6667,3.1227,2.8833,3.1251,2.8474,95.82,91.839,90.42,173.816,88.222,172.264,91.544,88.584,93.882,87.299,83.864,87.432,93.807,174.514,87.147,2.8845,0.00426552,12.2022,6.0,2.0,3.5594,3.7742,3.5594,0.962,1.020054054054054,0.962,0.0,0.0,1.0,0,2.64
67,PICBBI,Bi_Br,295.0,2.6292,2.654,3.0836,2.9674,3.2705,2.8332,93.157,91.083,89.099,172.067,89.719,175.529,93.416,82.541,94.623,85.225,93.412,86.813,97.781,171.926,84.013,2.9063,0.00618771,21.9723,6.0,2.0,3.73,4.1345,3.7405,1.008108108108108,1.1174324324324323,1.0109459459459458,0.0,0.0,1.0,0,2.87
68,POYGAO,Bi_I,93.0,2.9191,2.9297,3.2599,3.1081,3.2793,3.0911,94.05,90.381,92.368,176.061,90.072,174.25,89.169,89.133,91.892,86.986,86.595,91.765,89.995,177.265,87.502,3.0979,0.00207641,5.2014,6.0,2.0,4.0681,4.5657,4.0838,0.9685952380952381,1.0870714285714285,0.9723333333333333,0.0,1.0,0.0,0,2.1
