,Refcode,DOI,Authors,Journal,Journal year,Journal volume,Journal page or number,Cation SMILES,Cation substructure SMILES,Space group,Int Tables number,Temperature,a,b,c,alpha,beta,gamma,V,Z,R factor,MX4 type,M,X,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,X...X contacts,VdW contacts,N_XX,N_VdW,XX_min,XX_average,VdW_average,Type of bandgap,Bandgap,Bangap estimation comments
144,POYGES01,10.1107/S2053229620006130,"L.Senior, Anthony Linden","Acta Crystallogr.,Sect.C:Cryst.Struct.Chem. ",2020,76.0,562,[nH+]1c(N)cccc1N,[nH+]1c(N)cccc1N,P21/n,14,160.0,12.02106,7.8088,15.3298,90.0,90.053,90.0,1439.009,4,2.03,alpha,Bi,I,2.9188,2.9433,3.2247,3.066,3.3347,3.1003,98.91,91.714,92.812,168.288,86.159,168.192,87.213,89.749,94.815,87.133,80.486,91.004,95.489,177.845,85.263,3.098,0.00224286,26.2103,4.0896 4.0896 4.572 4.0462 4.0462 4.7094,4.0896 4.0896 4.0462 4.0462,6.0,4.0,4.0462,4.2588,4.0679,indirect,1.97,
145,POYGES02,10.1107/S2056989020003138,"T.P.Mawhinney, Y.Li, D.L.Chance, S.P.Kelley, V.V.Mossine","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2020,76.0,562,[nH+]1c(N)cccc1N,[nH+]1c(N)cccc1N,P21/n,14,160.0,12.02106,7.8088,15.3298,90.0,90.053,90.0,1439.009,4,2.03,no data,Bi,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,indirect,1.97,
146,POYGIW,10.1016/j.poly.2019.114335,"S.Pandey, T.Chattopadhyay, S.Dev, Y.Patil, C.L.Carpenter-Warren, C.Sinha",Polyhedron ,2020,179.0,114335,[nH+]1c(N)cc(N)cc1N,[nH+]1c(N)cc(N)cc1N,Pbcn,60,138.0,12.017,15.3261,7.81,90.0,90.0,90.0,1438.397,4,13.37,alpha,Bi,I,2.9246,2.9246,3.2768,3.0832,3.2768,3.0832,98.279,91.161,93.59,168.541,86.805,168.541,86.805,91.161,93.59,86.131,80.27,93.406,93.406,179.376,86.131,3.0949,0.00216556,24.113,4.6272 4.6272 4.6272 4.6272 4.0429 4.0429 4.0429 4.0429,4.0429 4.0429 4.0429 4.0429,8.0,4.0,4.0429,4.3351,4.0429,indirect,1.97,
147,PUBKUV,10.1021/acs.cgd.9b01338,"Ruo-Yu Zhao, Guang-Ning Liu, Qi-Sheng Liu, Peng-Fei Niu, Rang-Dong Xu, Zi-Han Wang, Tian-Hui Wei, Jie Zhang, Yi-Qiang Sun, Cuncheng Li",Cryst.Growth Des. ,2020,20.0,1009,[nH+]1cc(c2ccccc2)ccc1,[nH+]1cc(c2ccccc2)ccc1,C2/c,15,293.0,12.7208,18.6404,7.6661,90.0,93.125,90.0,1815.089,4,2.56,alpha,Sb,I,2.8499,2.8499,3.2722,3.023,3.2722,3.023,96.044,90.51,93.589,172.101,89.112,172.101,89.112,90.51,93.589,86.073,83.317,90.91,90.91,175.965,86.073,3.0484,0.0032332,12.8682,4.2258 4.2258 4.2258 4.2258,,4.0,0.0,4.2258,4.2258,4.2258,direct,2.2,
148,PUBKUV01,10.31635/ccschem.021.202100873,"Guang-Ning Liu, Ruo-Yu Zhao, Rang-Dong Xu, Cuncheng Li, Guo-Cong Guo",CCS Chem. ,2021,3.0,1393,[nH+]1ccc(cc1)c2ccccc2,[nH+]1ccc(cc1)c2ccccc2,C2/c,15,293.0,12.5904,18.0416,7.7839,90.0,92.539,90.0,1766.385,4,2.48,alpha,Sb,I,2.8301,2.8301,3.313,3.0359,3.313,3.0359,96.396,91.754,94.922,169.372,87.779,169.372,87.779,91.754,94.922,84.726,81.034,92.172,92.172,175.954,84.726,3.0597,0.00418176,22.8031,4.0117 4.0117 4.0117 4.0117,4.0117 4.0117 4.0117 4.0117,4.0,4.0,4.0117,4.0117,4.0117,direct,2.2,
149,PUCZES,10.1039/a705223e,"N.D.Kushch, A.A.Dyachenko, V.V.Gritsenko, P.Cassoux, C.Faulmann, A.Kobayashi, H.Kobayashi","J.Chem.Soc.,Dalton Trans. ",1998,,683,C1(SCCS2)=C2[Se]C([Se]1)=C3[Se]C(SCCS4)=C4[Se]3,C1(SCCS2)=C2[Se]C([Se]1)=C3[Se]C(SCCS4)=C4[Se]3,P21/n,14,295.0,24.67,22.73,7.508,90.0,98.56,90.0,4163.206,4,7.7,alpha,Bi,Cl,2.4761,2.5928,2.9831,2.8446,2.983,2.6181,90.919,89.382,90.308,174.205,91.572,166.104,86.489,88.098,93.412,80.414,92.56,99.312,93.786,175.051,84.154,2.7496,0.00532736,367.7802,6.5672 6.5022 6.6361,,1.5,0.0,6.5022,6.5685,6.5022,,,
150,PURMAQ,10.1071/C97036,"G.A.Bowmaker, P.C.Junk, A.M.Lee, B.W.Skelton, A.H.White",Aust.J.Chem. ,1998,51.0,293,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1.O,P-1,2,295.0,12.119,10.169,7.247,69.3,75.05,77.92,800.252,2,3.5,alpha,Bi,Cl,2.5036,2.5573,2.9355,2.7576,2.9796,2.6945,94.22,90.467,92.806,171.071,89.483,170.794,89.553,90.744,93.851,82.298,85.681,94.109,94.651,175.75,82.774,2.738,0.0041629,19.1324,3.9424,,1.0,0.0,3.9424,3.9424,3.9424,,,
151,PURMIY,10.1071/C97036,"G.A.Bowmaker, P.C.Junk, A.M.Lee, B.W.Skelton, A.H.White",Aust.J.Chem. ,1998,51.0,293,[nH+]1c(cccc1)c2ncccc2,c1c[nH+]c(cc1)c2ncccc2,C2/c,15,295.0,12.442,18.41,7.714,90.0,92.8,90.0,1764.838,4,8.0,alpha,Bi,I,2.9035,2.9035,3.2997,3.0957,3.2997,3.0957,95.048,91.144,95.01,172.422,88.586,172.422,88.586,91.144,95.01,86.521,83.035,89.497,89.497,174.683,86.521,3.0996,0.00272386,14.1384,3.9232 3.9232 3.9232 3.9232,3.9232 3.9232 3.9232 3.9232,4.0,4.0,3.9232,3.9232,3.9232,,,
152,PYDBSB,CCDC 1240483,"P.W.DeHaven, R.A.Jacobson",Cryst.Struct.Commun. ,1976,5.0,31,[nH+]1ccccc1,[nH+]1ccccc1,C2/c,15,295.0,11.824,13.04,7.703,90.0,93.89,90.0,1184.95,4,7.8,alpha,Sb,Br,2.5647,2.5647,3.23,2.8214,3.23,2.8214,94.583,88.535,90.821,172.572,88.101,172.572,88.101,88.535,90.821,85.111,89.181,96.025,96.025,178.411,85.111,2.872,0.00909885,14.0849,3.5926 3.5926 3.5926 3.5926 4.2719 4.2719 4.2719 4.2719,3.5926 3.5926 3.5926 3.5926,8.0,4.0,3.5926,3.9322,3.5926,direct,2.61,
153,PYDBSB01,10.1021/ic50141a046,"J.M.Stewart, K.L.McLaughlin, J.J.Rossiter, J.R.Hurst, R.G.Haas, V.J.Rose, B.R.Ciric, J.A.Murphy, S.L.Lawton",Inorg.Chem. ,1974,13.0,2767,[nH+]1ccccc1,[nH+]1ccccc1,C2/c,15,295.0,11.82,13.06,7.69,90.0,93.9,90.0,1184.35,4,0.0,no data,Sb,Br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,direct,2.61,
154,PYDBSB02,10.1515/zna-1996-5-664,"K.Yamada, T.Ohtani, S.Shirakawa, H.Ohki, T.Okuda, T.Kamiyama, K.Oikawa","Z.Naturforsch.,A:Phys.Sci. ",1996,51.0,739,[nH+]1ccccc1,[nH+]1ccccc1,P-1,2,116.0,8.674,8.797,7.609,89.96,95.07,95.06,576.066,2,1.2,alpha,Sb,Br,2.6054,2.6916,3.3227,2.716,3.144,2.8827,93.242,92.509,89.185,178.625,89.704,168.188,88.554,88.118,87.312,81.218,86.117,103.031,90.643,175.652,90.568,2.8937,0.00800823,26.6509,3.5976 4.2321 4.2321 3.2634 4.1796 4.1796,3.5976 3.2634,6.0,2.0,3.2634,3.9474,3.4305,direct,2.61,
155,PYDBSB03,10.1515/zna-1996-5-664,"K.Yamada, T.Ohtani, S.Shirakawa, H.Ohki, T.Okuda, T.Kamiyama, K.Oikawa","Z.Naturforsch.,A:Phys.Sci. ",1996,51.0,739,[nH+]1ccccc1,[nH+]1ccccc1,C2/c,15,295.0,11.825,13.048,7.698,90.0,93.87,90.0,1185.036,4,1.9,alpha,Sb,Br,2.6241,2.6241,3.2608,2.7875,3.2608,2.7875,93.654,89.61,89.412,171.984,86.77,171.984,86.77,89.61,89.412,85.944,88.111,98.088,98.088,174.419,85.944,2.8908,0.0087235,18.4105,3.5222 3.5222 3.5222 3.5222 4.2401 4.2401 4.2401 4.2401,3.5222 3.5222 3.5222 3.5222,8.0,4.0,3.5222,3.8812,3.5222,direct,2.61,
156,PYDBSB04,10.1246/bcsj.74.77,"K.Yamada, T.Tsuda, C.Holst, T.Okuda, H.Ehrenberg, I.Svoboda, H.-G.Krane, H.Fuess",Bull.Chem.Soc.Jpn. ,2001,74.0,77,[nH+]1ccccc1,[nH+]1ccccc1,C2/c,15,295.0,11.837,13.045,7.699,90.0,93.852,90.0,1186.145,4,5.17,alpha,Sb,Br,2.5683,2.5683,3.2267,2.8205,3.2267,2.8205,94.464,88.56,90.731,172.64,88.066,172.64,88.066,88.56,90.731,85.241,89.138,96.083,96.083,178.23,85.138,2.8718,0.00891987,13.9691,3.593 3.593 3.593 3.593 4.2794 4.2794 4.2794 4.2794,3.593 3.593 3.593 3.593,8.0,4.0,3.593,3.9362,3.593,direct,2.61,
