,Refcode,DOI,Authors,Journal,Journal year,Journal volume,Journal page or number,Cation SMILES,Cation substructure SMILES,Space group,Int Tables number,Temperature,a,b,c,alpha,beta,gamma,V,Z,R factor,MX4 type,M,X,X_t1,X_t2,X_d1,X_d2,X_d3,X_d4,t1_t2,t1_d1,t1_d2,t1_d3,t1_d4,t2_d1,t2_d2,t2_d3,t2_d4,d1_d2,d1_d3,d1_d4,d2_d3,d2_d4,d3_d4,d_average,delta_d,sigma_2,X...X contacts,VdW contacts,N_XX,N_VdW,XX_min,XX_average,VdW_average,Type of bandgap,Bandgap,Bangap estimation comments
172,RATQAI,10.1039/D2DT00190J,"Gang-Mei Li, Zhen-Gang Liang, Zhen-Zhen Xue, Song-De Han, Jie Pan, Guo-Ming Wang",Dalton Trans. ,2022,51.0,4310,c1cc2c(c3c(ccc[nH+]3)c(Cl)c2)nc1,c1cc2c(c3c(ccc[nH+]3)c(Cl)c2)nc1.O,P-1,2,293.0,7.2646,10.509,12.2616,95.177,106.785,106.916,841.777,2,7.8,alpha,Bi,Cl,2.5098,2.52,2.9572,2.7143,2.9602,2.7389,93.634,87.596,93.301,168.763,90.013,173.515,90.842,93.554,93.888,82.727,86.231,92.478,95.218,174.044,80.891,2.7334,0.00440467,21.9802,4.1761,,1.0,0.0,4.1761,4.1761,4.1761,,,
173,RATQEM,10.1039/D2DT00190J,"Gang-Mei Li, Zhen-Gang Liang, Zhen-Zhen Xue, Song-De Han, Jie Pan, Guo-Ming Wang",Dalton Trans. ,2022,51.0,4310,c1cc2c(c3c(ccc[nH+]3)c(N)c2)nc1,c1cc2c(c3c(ccc[nH+]3)c(N)c2)nc1.O,P-1,2,100.0,7.2209,10.1824,12.1346,93.11,104.131,109.667,805.596,2,5.08,alpha,Bi,Cl,2.5163,2.5181,2.9498,2.7521,2.9817,2.6857,93.244,92.878,92.753,174.162,89.943,170.859,90.257,86.515,92.981,82.672,88.081,93.807,93.081,175.664,84.246,2.734,0.004562,14.7239,3.8447,,1.0,0.0,3.8447,3.8447,3.8447,,,
174,RAZMEN,10.1107/S2052520617003420,M.Bujak,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2017,73.0,432,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,295.0,7.4437,13.0949,13.7941,90.0,95.161,90.0,1339.122,2,2.44,alpha,Sb,I,2.8145,2.8732,3.2202,3.0066,3.3081,3.0361,93.336,90.353,95.391,174.486,89.259,175.661,89.142,91.853,92.902,88.238,84.538,89.426,86.543,174.807,88.619,3.0431,0.00331324,9.1439,3.8438 3.8438 4.4861 4.4861 4.3755 4.3755,3.8438 3.8438,6.0,2.0,3.8438,4.2351,3.8438,direct,2.22,
175,RAZMEN01,10.1107/S2052520617003420,M.Bujak,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2017,73.0,432,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,85.0,7.31459,12.9482,13.8097,90.0,94.56,90.0,1303.787,2,2.23,alpha,Sb,I,2.8142,2.8798,3.2005,2.9976,3.2938,3.0246,92.976,90.469,89.057,174.049,88.747,176.308,89.057,92.813,92.787,89.288,83.777,88.612,85.888,175.205,89.598,3.0351,0.00305253,7.8486,3.7854 3.7854 4.4426 4.4426 4.2804 4.2804,3.7854 3.7854,6.0,2.0,3.7854,4.1695,3.7854,direct,2.22,
176,RAZMEN02,10.1039/C7DT04280A,"A.J.Dennington, M.T.Weller",Dalton Trans. ,2018,47.0,3469,[NH2+]1CC[NH2+]CC1,[NH2+]1CC[NH2+]CC1.O.O.O.O,P21/c,14,150.0,7.3391,13.0022,13.8121,90.0,94.55,90.0,1313.858,4,2.82,alpha,Sb,I,2.8142,2.8799,3.2081,2.9988,3.3005,3.0289,93.145,90.472,95.647,174.176,88.795,176.086,89.089,92.496,92.823,89.065,83.929,88.748,85.889,175.065,89.481,3.0384,0.00315105,10.4502,3.8012 3.8012 4.4629 4.4629 4.3089 4.3089,3.8012 3.8012,6.0,2.0,3.8012,4.191,3.8012,direct,2.22,
177,SEFRII,10.1007/s11426-021-1076-9,"Zhikai Qi, Yali Chen, Huizhi Gao, Fu-Qiang Zhang, Shi-Li Li, Xian-Ming Zhang",Sci.China.Chem. ,2021,64.0,2111,C1[NH+](CCCl)CCC1,C1[NH+](CCCl)CCC1,Cc,9,293.0,10.1452,18.133,7.8942,90.0,98.601,90.0,1435.908,4,7.81,alpha,Sb,Br,2.5557,2.6297,3.0105,2.7679,3.436,2.8352,92.48,87.269,88.744,157.792,85.323,178.107,95.1,80.062,95.283,83.02,100.843,86.568,112.609,168.248,74.687,2.8725,0.01026556,101.2245,4.3354 4.3354,,2.0,0.0,4.3354,4.3354,4.3354,,2.82,
178,SEFROO,10.1007/s11426-021-1076-9,"Zhikai Qi, Yali Chen, Huizhi Gao, Fu-Qiang Zhang, Shi-Li Li, Xian-Ming Zhang",Sci.China.Chem. ,2021,64.0,2111,C1[NH+](CCCl)CCC1,C1[NH+](CCCl)CCC1,Cc,9,293.0,9.8276,17.442,7.8273,90.0,97.531,90.0,1330.128,4,2.32,alpha,Sb,Cl,2.387,2.4545,2.9069,2.5823,3.4547,2.6784,91.064,85.314,87.791,152.285,84.39,174.842,93.046,76.849,93.591,83.16,107.986,89.715,117.304,169.829,71.806,2.744,0.01711835,154.678,4.561 4.561,,2.0,0.0,4.561,4.561,4.561,,3.33,
179,SEYDUV,10.1007/BF01160960,"T.L.Hendrixson, M.A.ter Horst, R.A.Jacobson",J.Crystallogr.Spectrosc.Res. ,1990,20.0,105,[nH+]1ccccc1,[nH+]1ccccc1,Pbca,61,295.0,25.156,13.96,7.838,90.0,90.0,90.0,2752.531,8,3.9,alpha,Sb,I,2.8075,2.8275,3.2569,3.0377,3.3408,3.0207,93.995,89.607,94.584,172.317,87.963,174.121,88.559,90.057,92.976,86.521,86.907,91.793,92.038,176.932,85.307,3.0485,0.00424459,9.3887,4.7725 3.8447 3.8447 3.8419 4.2941 4.2941,3.8447 3.8447 3.8419,6.0,3.0,3.8419,4.1487,3.8438,direct,2.16,
180,SEYDUV01,10.1039/D2CP01996E,"A.D.Nicholas, L.C.Garman, N.Albano, C.L.Cahill",Phys.Chem.Chem.Phys. ,2022,24.0,15305,[nH+]1ccccc1,[nH+]1ccccc1,C2/c,15,100.0,12.62,13.647,8.046,90.0,95.692,90.0,1378.891,4,4.67,alpha,Sb,I,2.8314,2.8314,3.3547,3.063,3.3547,3.063,93.755,88.89,92.421,173.766,88.019,173.766,88.019,88.89,92.421,86.228,89.047,93.313,93.313,179.357,86.228,3.083,0.0048228,7.9501,3.7395 3.7395 3.7395 3.7395 4.2309 4.2309 4.2309 4.2309,3.7395 3.7395 3.7395 3.7395,8.0,4.0,3.7395,3.9852,3.7395,direct,2.16,
181,SEYPOF,10.1016/j.heliyon.2022.e12528,"Liuyuan Han, Qian Wu, Longfei Lei, Jinghang Chen, Ni Xue",Heliyon ,2022,8.0,e12528,[NH3+]c1ccc(N)cc1,[NH3+]c1ccc(N)cc1,Pbca,61,296.0,15.5723,7.7862,24.4709,90.0,90.0,90.0,2967.073,8,5.46,alpha,Bi,I,2.889,3.0298,3.1261,3.0575,3.3745,3.1035,91.323,86.376,97.3,170.517,92.715,174.613,86.33,97.268,92.0,89.129,85.399,92.973,87.292,169.879,83.014,3.0967,0.0022113,21.1583,4.5649 4.0386 4.0386 4.5932 4.5217 4.5217,4.0386 4.0386,6.0,2.0,4.0386,4.3798,4.0386,direct,1.96,
182,SIBXAC,10.1021/ic00334a007,"U.Geiser, Hau H.Wang, S.M.Budz, M.J.Lowry, J.M.Williams, Jinqing Ren, Myung-Hwan Whangbo",Inorg.Chem. ,1990,29.0,1611,C1(SCCS2)=[S+]C([S]=C12)=c2sc(SCCS3)c3s2,C1(SCCS2)=[S+]C([S]=C12)=c2sc(SCCS3)c3s2,P-1,2,295.0,8.265,11.118,14.424,110.76,96.41,103.57,1176.777,2,3.2,alpha,Bi,I,2.9006,2.9635,3.2188,3.1827,3.3689,3.0421,93.027,88.647,94.415,170.242,90.694,171.639,89.245,92.298,93.485,82.457,87.263,94.686,93.826,174.076,80.822,3.1128,0.00264943,21.2894,4.3187,,1.0,0.0,4.3187,4.3187,4.3187,,,
183,SIWGUD,10.1039/C8TA09204D,"A.N.Usoltsev, M.Elshobaki, S.A.Adonin, L.A.Frolova, T.Derzhavskaya, P.A.Abramov, D.V.Anokhin, I.V.Korolkov, S.Yu.Luchkin, N.N.Dremova, K.J.Stevenson, M.N.Sokolov, V.P.Fedin, P.A.Troshin",J.Mater.Chem.A ,2019,7.0,5957,c1ccc2c(c1)ccc[n+]2C,c1ccc2c(c1)ccc[n+]2C,I2/a,15,130.0,7.6699,16.336,13.1719,90.0,91.06,90.0,1650.097,4,3.18,alpha,Bi,I,2.9027,2.9027,3.2824,3.0845,3.2824,3.0845,93.321,89.426,94.82,176.167,89.363,176.167,89.363,89.426,94.82,87.741,87.958,87.877,87.877,173.91,87.741,3.0899,0.00251832,7.4868,4.0752 4.0752 4.0752 4.0752 5.0535 5.0535 5.0535 5.0535,4.0752 4.0752 4.0752 4.0752,8.0,4.0,4.0752,4.5643,4.0752,direct,2.0,
184,SIWHAK,10.1039/C8TA09204D,"A.N.Usoltsev, M.Elshobaki, S.A.Adonin, L.A.Frolova, T.Derzhavskaya, P.A.Abramov, D.V.Anokhin, I.V.Korolkov, S.Yu.Luchkin, N.N.Dremova, K.J.Stevenson, M.N.Sokolov, V.P.Fedin, P.A.Troshin",J.Mater.Chem.A ,2019,7.0,5957,c1ccc2c(c1)cc[n+](C)c2,c1ccc2c(c1)cc[n+](C)c2,P-1,2,130.0,7.6749,10.0389,11.4778,71.809,84.837,83.29,833.04,2,4.17,alpha,Bi,I,2.8978,2.9568,3.2139,3.1299,3.3478,3.0338,95.076,88.166,94.707,170.438,91.064,171.305,86.376,94.397,95.771,85.317,82.585,92.226,86.802,173.646,87.071,3.0967,0.00245027,19.8966,4.4602 4.4602 3.9138 3.8847,3.9138 3.8847,4.0,2.0,3.8847,4.1797,3.8992,direct,1.93,
185,TEPXAQ,10.1002/chem.201703747,"S.A.Adonin, I.D.Gorokh, A.S.Novikov, P.A.Abramov, M.N.Sokolov, V.P.Fedin",Chem.-Eur.J. ,2017,23.0,15612,[nH+]1c(Br)cccc1,[nH+]1c(Br)cccc1.n1c(Br)cccc1,P21/n,14,130.0,7.2304,18.1638,13.7844,90.0,93.078,90.0,1807.715,4,4.32,alpha,Bi,Br,2.6869,2.7038,3.0733,2.8741,3.076,2.8759,95.164,90.151,94.777,170.101,87.672,172.558,89.308,93.18,94.985,85.054,82.051,90.424,90.635,174.856,86.304,2.8817,0.00289318,17.4785,4.7887 4.7887,,2.0,0.0,4.7887,4.7887,4.7887,,,
186,TIFXIQ,10.1107/S1600536807034344,"Jun Zhai, Handong Yin, Feng Li, Daqi Wang","Acta Crystallogr.,Sect.E:Struct.Rep.Online ",2007,63.0,m2165,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1.CO,P-1,2,298.0,7.5228,10.034,12.3933,78.242,73.266,73.751,852.332,2,2.83,alpha,Sb,Cl,2.397,2.4248,3.0184,2.789,3.2492,2.5375,93.243,86.393,88.979,171.357,89.95,173.222,88.604,89.919,91.931,84.623,91.408,94.836,99.145,178.828,81.9,2.736,0.01329444,21.2526,4.1558,,1.0,0.0,4.1558,4.1558,4.1558,,,
187,TIQGAF,10.1016/j.poly.2023.116505,"I.A.Shentseva, N.A.Korobeynikov, A.N.Usoltsev, I.D.Gorokh, A.S.Novikov, I.V.Korolkov, M.N.Sokolov, S.A.Adonin",Polyhedron ,2023,242.0,116505,c12[n+](C)cc([Br])cc1cccc2,c12[n+](C)cc([Br])cc1cccc2,P-1,2,150.0,7.4533,9.7834,11.1361,73.803,74.192,74.977,735.407,1,2.54,alpha,Sb,Cl,2.3712,2.5186,2.7816,2.9985,3.554,2.4448,86.311,83.16,89.494,156.628,91.309,168.89,90.199,113.657,92.496,86.182,77.395,91.238,101.896,177.232,76.43,2.7781,0.02147825,102.6311,4.2315 3.9172 3.9172,,3.0,0.0,3.9172,4.022,3.9172,,,
188,TOVGAP,10.1016/j.mencom.2019.09.020,"V.Yu.Kotov, A.B.Ilyukhin, P.A.Buikin, K.E.Yorov",Mendeleev Commun. ,2019,29.0,537,C[n+]1ccc(C)cc1,C[n+]1ccc(C)cc1,P21/c,14,100.0,14.4469,14.0102,7.7784,90.0,104.175,90.0,1526.443,4,2.84,alpha,Bi,I,2.9212,2.931,3.2835,3.0299,3.2781,3.1666,93.957,95.475,90.369,171.829,88.383,169.901,90.369,87.448,99.354,85.508,83.722,84.529,94.799,170.015,83.446,3.1017,0.00234312,27.0945,4.1312 4.1312 4.1845 4.791 4.791 4.1399,4.1312 4.1312 4.1845 4.1399,6.0,4.0,4.1312,4.3615,4.1467,,,
189,UBUSOD,10.1107/S2052520621004753,M.Bujak,"Acta Crystallogr.,Sect.B:Struct.Sci.,Cryst.Eng. and Mat. ",2021,77.0,763,CN(C)C(N(C)C)=[NH2+],CN(C)C(N(C)C)=[NH2+],P-1,2,295.0,7.7179,10.566,18.0362,95.585,91.008,110.965,1364.74,2,2.57,alpha,Bi,Cl,2.5065,2.5291,2.9604,2.7127,3.0376,2.7281,92.256,90.592,89.387,167.348,87.618,170.294,89.104,86.182,90.6,81.76,92.969,98.672,102.886,176.978,80.09,2.7457,0.00535824,41.9118,3.5936 3.5649 3.6483,3.5936 3.5649,1.5,2.0,3.5649,3.6023,3.5792,,,
190,ULACIW,10.1021/acs.inorgchem.0c03699,"A.N.Usoltsev, T.S.Sukhikh, A.S.Novikov, V.R.Shayapov, D.P.Pishchur, I.V.Korolkov, I.F.Sakhapov, V.P.Fedin, M.N.Sokolov, S.A.Adonin",Inorg.Chem. ,2021,60.0,2797,c1c(C)c[n+](cc1C)CC[n+]2cc(C)cc(C)c2,c1c(C)c[n+](cc1C)CC[n+]2cc(C)cc(C)c2,P21/n,14,130.0,20.5536,7.2974,21.251,90.0,117.694,90.0,2822.251,4,2.65,alpha,Sb,Br,2.5672,2.6368,2.9921,2.9208,3.2365,2.7056,91.496,87.982,92.016,170.244,89.387,174.41,86.292,96.599,92.596,88.227,84.46,92.863,93.632,177.036,85.074,2.8432,0.00669372,15.5537,4.7699 4.1649,,1.5,0.0,4.1649,4.4674,4.1649,,,
191,UXILOD,10.1016/j.materresbull.2011.04.013,"I.Plowas, P.Szklarz, R.Jakubas, G.Bator",Mater.Res.Bull. ,2011,46.0,1177,[nH+]1ccc(N(C)C)cc1,[nH+]1ccc(N(C)C)cc1,C2/c,15,100.0,13.488,15.107,7.356,90.0,122.52,90.0,1263.863,4,2.56,alpha,Bi,Cl,2.5506,2.5506,2.9571,2.7,2.9571,2.7,90.859,88.937,92.346,172.671,89.965,172.671,89.965,88.937,92.346,82.724,92.196,94.98,94.98,176.708,82.724,2.7359,0.00376543,15.8465,3.7671 3.7671 3.7671 3.7671,,4.0,0.0,3.7671,3.7671,3.7671,,,
192,VAXWUQ,10.3390/molecules27010280,"N.Keerthisinghe, M.S.Christian, A.A.Berseneva, G.Morrison, V.V.Klepov, M.D.Smith, H.-C.z.Loye",Molecules ,2022,27.0,280,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1.O,P-1,2,301.0,7.7387,11.1522,12.0271,77.477,79.148,70.754,948.943,2,2.04,alpha,Sb,I,2.8286,2.8745,3.2628,3.0255,3.2675,3.0331,95.298,91.316,93.553,172.422,88.007,171.181,89.661,90.369,94.442,84.103,83.587,91.606,91.502,175.462,86.54,3.0487,0.00310732,14.4625,4.3294 5.109 5.109 4.7231,,4.0,0.0,4.3294,4.8176,4.3294,,2.7,No edge fitting
193,VIPLUC,10.1016/j.solidstatesciences.2007.03.010,"M.A.Tershansy, A.M.Goforth, J.R.Gardinier, M.D.Smith, L.Peterson Junior, H.-C.zur Loye",Solid State Sciences ,2007,9.0,410,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1.O,P-1,2,296.0,7.759,11.1477,12.0731,77.657,79.19,71.295,958.22,2,1.96,alpha,Bi,I,2.9018,2.95,3.2716,3.0805,3.275,3.0938,95.892,91.269,94.133,172.236,87.9,170.993,89.61,90.331,95.407,84.419,83.006,90.296,90.537,174.372,86.894,3.0954,0.00212467,16.1274,4.3059 5.0246 5.0246 4.5596,,4.0,0.0,4.3059,4.7287,4.3059,,,
194,VIPLUC01,10.1016/j.solidstatesciences.2007.03.010,"M.A.Tershansy, A.M.Goforth, J.R.Gardinier, M.D.Smith, L.Peterson Junior, H.-C.zur Loye",Solid State Sciences ,2007,9.0,410,c1cc2c(c3c(ccc[nH+]3)cc2)nc1,c1cc2c(c3c(ccc[nH+]3)cc2)nc1.O,P-1,2,100.0,7.7,10.9265,11.9748,78.102,79.994,71.838,930.211,2,2.41,alpha,Bi,I,2.9003,2.9552,3.2566,3.0703,3.2535,3.0943,96.233,91.535,93.504,172.62,87.507,170.769,89.484,89.928,94.762,85.059,82.704,90.539,90.602,175.506,87.937,3.0884,0.00190528,15.0183,4.2757 4.8302 4.8302 4.5163,,4.0,0.0,4.2757,4.6131,4.2757,,,
195,VUSMUS,10.2116/xraystruct.26.21,"A.Ghouili, N.Chaari, F.Zouari",X-ray.Str.Anal.Online. ,2010,26.0,21,[nH+]1ccc(N(C)C)cc1,CN(C)c1cc[nH+]cc1,C2/c,15,293.0,13.6692,15.1035,7.5223,90.0,123.39,90.0,1296.668,4,3.16,alpha,Sb,Cl,2.4315,2.4315,3.0515,2.6395,3.2282,2.6395,91.097,88.109,90.21,171.138,88.288,171.138,88.288,88.109,90.21,82.889,94.017,98.587,98.587,177.855,82.889,2.737,0.01214498,25.3679,4.0454 4.0454 4.0454 4.0454,,4.0,0.0,4.0454,4.0454,4.0454,,,
196,VUSMUS01,10.1016/j.materresbull.2011.04.013,"I.Plowas, P.Szklarz, R.Jakubas, G.Bator",Mater.Res.Bull. ,2011,46.0,1177,[nH+]1ccc(N(C)C)cc1,CN(C)c1cc[nH+]cc1,C2/c,15,100.0,13.4604,14.9828,7.4325,90.0,122.727,90.0,1260.997,4,1.98,alpha,Sb,Cl,2.4351,2.4351,3.0449,2.6369,3.0449,2.6369,91.173,87.506,90.088,172.44,88.407,172.44,88.407,87.506,90.088,84.154,94.756,97.312,97.312,177.85,84.154,2.7056,0.00878882,19.7099,4.0024 4.0024 4.0024 4.0024,,4.0,0.0,4.0024,4.0024,4.0024,,,
197,VUSMUS02,10.1002/anie.202309913,"Bo Zhou, Zhenhong Qi, Meiqi Dai, Chang Xing, Dongpeng Yan","Angew.Chem.,Int.Ed. ",2023,62.0,,[nH+]1ccc(N(C)C)cc1,[nH+]1ccc(N(C)C)cc1,I2/a,15,100.0,7.4292,14.9241,11.3177,90.0,90.832,90.0,1254.708,4,2.26,alpha,Sb,Cl,2.4301,2.4301,3.0412,2.6356,3.0412,2.6356,91.414,87.399,90.018,172.467,88.382,172.467,88.382,87.399,90.018,84.191,94.848,97.363,97.363,177.709,84.191,2.7023,0.00882789,20.0169,3.9953 3.9953 3.9953 3.9953,,4.0,0.0,3.9953,3.9953,3.9953,,,
198,VUXLAD,10.1107/S2056989015019489,"M.E.M.Touati, S.Elleuch, H.Boughzala","Acta Crystallogr.,Sect.E:Cryst.Commun. ",2015,71.0,1352,[NH3+]c1ccc(cc1)OC,[NH3+]c1ccc(cc1)OC.O.O,P21/n,14,293.0,7.779,12.747,18.252,90.0,94.97,90.0,1803.044,4,3.52,alpha,Bi,I,2.8938,2.9851,3.1843,3.139,3.3239,3.0184,96.054,91.583,92.387,177.35,91.412,170.464,86.913,86.188,92.3,87.071,86.33,93.215,89.139,176.181,87.079,3.0908,0.00210453,10.7143,3.9553 3.9553,3.9553 3.9553,2.0,2.0,3.9553,3.9553,3.9553,,,
199,WAXDIM,10.1134/S0036023621100193,"A.N.Usoltsev, I.A.Shentseva, V.R.Shayapov, P.E.Plyusnin, I.V.Korolkov, M.N.Sokolov, S.A.Adonin",Russ.J.Inorg.Chem ,2021,66.0,1482,[n+]1(CC)ccc(N(C)C)cc1,[n+]1(CC)ccc(N(C)C)cc1,P21/n,14,130.0,13.8281,18.5468,15.5983,90.0,113.841,90.0,3659.094,4,2.52,alpha,Bi,I,2.9252,2.9419,3.2619,3.068,3.2493,3.1036,95.259,90.37,96.168,170.156,89.336,171.148,87.914,92.177,93.893,84.872,82.915,92.887,89.651,173.683,84.684,3.0916,0.00187596,20.9278,3.9438 3.9298,3.9438 3.9298,1.0,2.0,3.9298,3.9368,3.9368,,1.93,
200,WEDNOM,10.1007/s10876-021-02055-y,"Dong-Sheng Pan, Kai-Bin Chu, Ling-Li Zhou, Zheng-Han Guo, Jun-Ling Song",J.Cluster Sci. ,2022,33.0,1205,Cn1c[n+](C)cc1,Cn1c[n+](C)cc1,C2/c,15,273.0,15.539,13.86,7.789,90.0,117.07,90.0,1493.751,4,3.15,alpha,Bi,I,2.917,2.917,3.2945,3.0928,3.2945,3.0928,91.99,90.376,90.674,175.757,95.266,175.757,95.266,90.376,90.674,88.225,87.482,85.6,85.6,171.452,88.225,3.1014,0.00247308,10.1795,4.2854 4.2854 4.2854 4.2854 4.3128 4.3128 4.3128 4.3128,,8.0,0.0,4.2854,4.2991,4.2854,direct,2.01,
201,WEDNOM01,10.1007/s10876-021-02055-y,"Dong-Sheng Pan, Kai-Bin Chu, Ling-Li Zhou, Zheng-Han Guo, Jun-Ling Song",J.Cluster Sci. ,2022,33.0,1205,Cn1c[n+](C)cc1,Cn1c[n+](C)cc1,C2/c,15,293.0,15.539,13.86,7.789,90.0,117.07,90.0,1493.751,4,3.15,alpha,Bi,I,2.9169,2.9169,3.2946,3.0928,3.2946,3.0928,91.991,90.375,90.673,175.757,95.266,175.757,95.266,90.375,90.673,88.225,87.484,85.601,85.601,171.453,88.225,3.1014,0.0024757,10.177,4.2854 4.2854 4.2854 4.2854 4.3128 4.3128 4.3128 4.3128,,8.0,0.0,4.2854,4.2991,4.2854,direct,2.01,
202,WEWFEJ,10.1007/BF00161886,"G.R.Willey, J.Palin, M.T.Lakin, N.W.Alcock",Transition Met.Chem. ,1994,19.0,187,[Fe+2].C1CSCCSCCS1.C1CSCCSCCS1,[Fe+2].C1CSCCSCCS1.C1CSCCSCCS1,P-1,2,295.0,8.008,9.182,10.342,77.8,73.17,82.93,709.873,1,3.7,alpha,Sb,Cl,2.3825,2.434,2.9599,2.7263,3.3454,2.5743,90.242,84.871,91.767,160.233,86.698,164.945,85.135,98.247,89.773,80.803,90.946,104.114,106.655,174.677,75.579,2.7371,0.01477001,82.0451,4.0997 4.4034 4.4034,,3.0,0.0,4.0997,4.3022,4.0997,,,
203,WILPOW,10.1039/dt9940003025,"G.R.Willey, J.R.Barras, M.D.Rudd, M.G.B.Drew","J.Chem.Soc.,Dalton Trans. ",1994,,3025,CN(C)[P+](N(C)C)(N(C)C)[Se][Se][P+](N(C)C)(N(C)C)N(C)C,CN(C)[P+](N(C)C)(N(C)C)[Se][Se][P+](N(C)C)(N(C)C)N(C)C,P-1,2,295.0,7.386,12.813,18.919,76.0,78.9,73.2,1648.554,2,7.2,alpha,Bi,Cl,2.4839,2.5186,2.8797,2.7318,3.028,2.6588,90.23,88.277,90.807,173.537,92.092,171.15,90.486,89.306,96.189,80.816,93.148,92.582,95.642,172.708,81.552,2.7168,0.00498946,22.8707,5.7907 5.7712,,2.0,0.0,5.7712,5.781,5.7712,,,
204,WOWGAT,10.1016/j.poly.2019.114180,"G.C.Anyfantis, Anna Ioannou, H.Barkaoui, Y.Abid, V.Psycharis, C.P.Raptopoulou, G.A.Mousdis",Polyhedron ,2020,175.0,114180,CS[C+](N)N,CS[C+](N)N,P21/a,14,293.0,7.8025,14.1381,12.4458,90.0,93.992,90.0,1369.597,4,3.2,alpha,Bi,I,2.9179,2.9196,3.2566,3.0473,3.2971,3.1572,90.645,84.715,95.835,173.033,92.257,175.334,93.482,95.707,89.166,87.489,88.903,90.527,86.656,171.452,84.993,3.0993,0.00234452,14.2652,4.2345 5.045 3.8244 3.8244 4.1053 4.1053 4.1984,3.8244 3.8244 4.1053 4.1053 4.1984,7.0,5.0,3.8244,4.191,4.0116,,2.26,No edge fitting
205,WURMUV,10.1039/d5ce00239g,"Q.Chong, L.He, Y.Yang, Q.Ye",CrystEngComm,2025,27.0,3320,Nc1[nH+]ccs1,Nc1[nH+]ccs1,P-1,2,293.0,7.553,9.3446,9.6219,86.478,66.993,71.718,592.09,2,5.07,alpha,Sb,Br,2.5276,2.5931,3.1066,2.9735,3.4042,2.6934,93.35,84.898,89.533,169.04,91.813,176.439,86.88,95.992,92.175,90.002,86.074,90.981,96.675,178.399,82.134,2.8831,0.01155219,19.4484,3.7790 3.8618 3.8618 4.602 3.9865 3.9865,3.7790,6.0,1.0,3.779,4.0129,3.779,direct,2.99,
206,WURMUV01,10.1039/d5ce00239g,"Q.Chong, L.He, Y.Yang, Q.Ye",CrystEngComm,2025,27.0,3320,Nc1[nH+]ccs1,Nc1[nH+]ccs1,C2/c,15,387.9,13.5885,13.4694,7.5873,90.0,120.686,90.0,1194.25,4,3.61,alpha,Sb,Br,2.5647,2.5647,3.2083,2.831,3.2083,2.831,94.151,87.269,86.878,168.513,90.462,168.513,90.462,87.269,90.772,86.413,91.637,93.637,93.637,171.012,86.413,2.868,0.00771116,42.7931,4.0448 3.9258 4.0448 3.9258 3.9258 3.9258 3.9322 3.9106 3.9322 3.9106 3.9106 3.9106,,6.0,0.0,3.9106,3.9364,3.9165,direct,2.99,
207,WURNEG,10.1039/d5ce00239g,"Q.Chong, L.He, Y.Yang, Q.Ye",CrystEngComm,2025,27.0,3320,Nc1[nH+]ccs1,Nc1[nH+]ccs1,P21/c,14,293.0,8.9986,17.8803,97.3616,90.0,95.761,90.0,1178.48,4,5.56,alpha,Bi,Br,2.6937,2.7053,3.068,2.9401,3.1437,2.8236,98.982,90.069,96.133,171.467,90.813,166.572,84.78,89.074,92.575,84.405,82.501,97.221,87.347,172.872,85.99,2.8957,0.00348661,28.7721,4.2935 3.8268 3.8268 3.6699 3.9932 3.9932,3.6699,6.0,1.0,3.6699,3.9178,3.6699,direct,2.79,
208,COD_7250636,10.1039/d5ce00239g,"Q.Chong, L.He, Y.Yang, Q.Ye",CrystEngComm,2025,27.0,3320,Nc1[nH+]ccs1,Nc1[nH+]ccs1,2/c,15,393.02,13.4541,13.6664,97.5122,90.0,118.77,90.0,1210.76,4,7.56,alpha,Bi,Br,2.6762,2.6762,3.1104,2.8873,3.1104,2.8873,94.101,88.838,91.374,171.727,91.091,171.727,91.091,88.838,91.374,85.099,88.528,92.0,92.0,176.007,85.099,2.8913,0.00425549,33.3042,4.0414 3.7913 4.0414 3.7913 3.7913 3.7913 3.928 4.0979 3.928 4.0979 4.0979 4.0979,3.7913 3.7913 3.7913 3.7913,6.0,2.3,3.7913,3.9463,3.8501,direct,2.79,
